Indian rank,Name,Gender,Title,Standard_Rating,Rapid_rating,Blitz_rating
308,Arvind  C.J.,M,FM,2124,0,2174
309,Unni  Vasanti,F,WIM,2120,0,0
310,Khadilkar  Jayshree,F,WIM,2120,0,0
311,Koshy  Varugeese,M,IM,2117,2150,2115
312,Safira  Shahnaz,F,WFM,2117,0,0
313,Ramu  K.,M,FM,2117,2091,0
314,Saheli  Nath,F,WFM,2116,0,0
315,Savant  Riya,F,WFM,2115,1827,1905
316,Kadam Om Manish,M,CM,2114,1499,1771
317,Syed Anwar  Shazuli,M,FM,2113,2151,2239
318,Jyothsna L,F,WFM,2112,1850,1895
319,Muralidharan  M.B.,M,FM,2110,2188,2206
320,Jain Kashish Manoj,M,FM,2110,1577,1681
321,Awate  Avinash S,M,FM,2109,0,0
322,Lakshmi  Sahiti P.,F,WIM,2108,0,0
323,Sinha  Arvind Kumar,M,FM,2106,0,0
324,Kasturi  M,F,WIM,2106,0,0
325,Ramakrishna  J.,M,FM,2105,2130,2114
326,Dongre  Ravindra Murlidhar,M,CM,2103,0,0
327,Amitpal  Singh,M,CM,2102,2082,2107
328,Dutta  Joydeep,M,FM,2101,2288,2264
329,Jishitha D,F,WFM,2100,1725,1833
330,Singh  Rishpal S,M,FM,2098,0,2117
331,Avari  Viraf,M,FM,2097,0,0
332,Bharathi  R.,F,WFM,2096,0,2088
333,Lasya.g,F,WFM,2095,1963,2000
334,Shantharam  K.V.,M,FM,2093,0,0
335,Sangeetha  M. R.,F,WFM,2091,0,0
336,Gagare  Shalmali,F,WIM,2087,2017,1976
337,Haridas  Kesavan,M,CM,2085,2014,1951
338,Ravichandran Venkataraman,M,CM,2084,0,0
339,Garv Gaur,M,CM,2083,1876,1950
340,Nikhil Magizhnan,M,CM,2076,1922,1976
341,Ramaswamy  Aarthie,F,WGM,2074,1991,1922
342,Karthik Sai Ch,M,CM,2074,1354,2003
343,Thipsay  Bagyashree Sathe,F,WIM,2072,2035,2031
344,Tiwari  Ashwani,M,FM,2070,2012,2033
345,Sahithi Varshini M,F,WFM,2070,1392,1498
346,Dave  Dhyani,F,WIM,2065,0,0
347,Meera  Sai,F,WIM,2064,2027,1944
348,Singh  Arvinder Preet,M,FM,2064,2115,2147
349,Lakshmi C,F,WFM,2058,1676,1775
350,Hariharan Venkatachalam,M,CM,2057,0,0
351,Pon  NKrithika,F,WIM,2052,0,2083
352,Gunasekaran  K.,M,FM,2051,2103,2121
353,Sahu  Sekhar Chandra,M,IM,2049,2016,2037
354,Bhavesh Mahajan,M,CM,2047,1961,2112
355,Sanskriti Goyal,F,WFM,2047,1620,1710
356,Saranya  J,F,WFM,2045,2052,2115
357,Vinoth Kumar  M.,M,FM,2038,1978,2120
358,Aaditya Dhingra,M,CM,2038,1674,1789
359,Ebenezer  Joseph,M,CM,2036,0,0
360,Vishwa Vasnawala,F,WFM,2034,1428,1476
